[2.6, 88.0] [Crystal Deposit 25]
[63.0, 51.5] [Rich Metal Deposit 100]
[79.0, 51.5] [Rich Metal Deposit 100, Metal Deposit 25]
[90.7, 51.4] [Oil Rock 25]
[64.3, 51.6] [Metal Deposit 25]
[66.2, 51.6] [Metal Deposit 25]
[8.5, 51.8] [Underwater Metal Deposit 25]
[10.3, 51.9] [Underwater Metal Deposit 25]
[30.9, 52.7] [Rich Metal Deposit 100]
[69.4, 51.8] [Salt Deposit 5]
[74.1, 51.8] [Rich Metal Deposit 100]
[77.9, 51.8] [Salt Deposit 5]
[31.1, 51.9] [Metal Deposit 25]
[31.6, 52.0] [Rich Metal Deposit 100]
[33.0, 51.9] [Obsidian Deposit 25]
[52.1, 52.5] [Rich Metal Deposit 100]
[53.4, 51.9] [Metal Deposit 25]
[74.1, 52.1] [Metal Deposit 25]
[84.5, 51.9] [Crystal Deposit 25]
[85.3, 52.0] [Rare Flowers 5]
[74.3, 52.1] [Cactus 5]
[80.6, 52.1] [Cactus 5]
[86.3, 52.1] [Rich Metal Deposit 100]
[88.6, 52.1] [Oil Rock 25]
[55.0, 52.2] [Rich Metal Deposit 100]
[60.2, 52.2] [Rich Metal Deposit 100]
[72.2, 52.4] [Metal Deposit 25]
[72.6, 52.2] [Rich Metal Deposit 100]
[76.4, 52.2] [Rare Flowers 5]
[81.3, 52.2] [Rich Metal Deposit 100]
[90.7, 52.4] [Oil Rock 25]
[95.4, 52.2] [Silica Deposit 25]
[61.9, 52.5] [Rich Metal Deposit 100]
[62.1, 52.5] [Metal Deposit 25]
[81.0, 52.5] [Metal Deposit 25]
[83.1, 52.5] [Rare Flowers 5]
[52.3, 52.6] [Water Vein 1]
[57.2, 52.7] [Rich Metal Deposit 100]
[72.7, 52.6] [Cactus 5]
[82.3, 52.8] [Salt Deposit 5]
[82.4, 52.6] [Metal Deposit 25]
[82.4, 52.7] [Rich Metal Deposit 100]
[84.3, 52.6] [Rare Flowers 5]
[85.0, 52.8] [Rich Metal Deposit 100]
[96.0, 52.8] [Oil Rock 25]
[12.9, 52.9] [Underwater Metal Deposit 25]
[25.6, 53.2] [Rich Metal Deposit 100]
[53.8, 52.9] [Rich Metal Deposit 100]
[86.1, 52.9] [Salt Deposit 5]
[89.2, 53.0] [Silica Deposit 25]
[34.1, 53.1] [Obsidian Deposit 25]
[56.2, 53.2] [Rich Metal Deposit 100]
[74.2, 53.1] [Rich Metal Deposit 100]
[80.7, 53.1] [Rich Metal Deposit 100]
[84.1, 53.1] [Metal Deposit 25]
[84.2, 53.1] [Rich Metal Deposit 100]
[85.1, 53.1] [Metal Deposit 25]
[92.1, 53.2] [Oil Rock 25]
[6.8, 53.3] [Oil Rock 25]
[6.8, 56.5] [Oil Rock 25]
[7.8, 54.0] [Underwater Metal Deposit 25]
[10.0, 53.5] [Underwater Metal Deposit 25]
[32.6, 53.3] [Obsidian Deposit 25]
[35.9, 53.3] [Obsidian Deposit 25]
[59.9, 53.3] [Metal Deposit 25]
[24.1, 53.5] [Salt Deposit 5]
[30.1, 53.5] [Obsidian Deposit 25]
[72.0, 53.5] [Oil Vein 50]
[74.1, 53.5] [Rare Flowers 5]
[9.5, 53.6] [Underwater Metal Deposit 25]
[14.2, 54.0] [Underwater Metal Deposit 25]
[53.4, 53.6] [Water Vein 1]
[63.2, 53.6] [Metal Deposit 25]
[63.5, 53.6] [Rich Metal Deposit 100]
[72.2, 53.6] [Oil Vein 50]
[76.7, 53.6] [Salt Deposit 5]
[76.9, 53.6] [Water Vein 1]
[81.8, 53.7] [Rich Metal Deposit 100]
[85.2, 53.7] [Rare Flowers 5]
[89.5, 53.6] [Oil Rock 25]
[81.8, 53.8] [Metal Deposit 25]
[24.9, 53.9] [Rare Flowers 5]
[25.2, 54.0] [Obsidian Deposit 25]
[77.6, 53.9] [Rich Metal Deposit 100]
[77.5, 54.0] [Metal Deposit 25]
[84.2, 54.0] [Rare Flowers 5]
[7.0, 54.1] [Oil Rock 25]
[7.0, 55.2] [Oil Rock 25]
[10.0, 54.2] [Crystal Deposit 25]
[72.2, 54.2] [Metal Deposit 25]
[78.9, 54.2] [Rare Flowers 5]
[10.7, 54.3] [Underwater Metal Deposit 25]
[20.5, 55.0] [Obsidian Deposit 25]
[23.9, 54.9] [Salt Deposit 5]
[73.7, 54.3] [Rich Metal Deposit 100]
[86.8, 54.3] [Salt Deposit 5]
[27.1, 54.4] [Rare Flowers 5]
[29.3, 55.1] [Obsidian Deposit 25]
[52.0, 54.4] [Cactus 5]
[52.0, 54.5] [Salt Deposit 5]
[54.9, 54.5] [Salt Deposit 5]
[73.7, 54.4] [Metal Deposit 25]
[55.1, 54.6] [Cactus 5]
[64.2, 54.7] [Water Vein 1]
[86.9, 54.6] [Rich Metal Deposit 100, Metal Deposit 25]
[92.4, 54.7] [Silica Deposit 25]
[53.0, 54.8] [Metal Deposit 25]
[75.0, 55.0] [Rare Flowers 5]
[85.5, 54.8] [Rich Metal Deposit 100]
[92.8, 54.8] [Oil Rock 25]
[75.3, 54.9] [Rich Metal Deposit 100]
[75.4, 54.9] [Metal Deposit 25]
[82.5, 55.1] [Salt Deposit 5]
[22.4, 55.2] [Metal Deposit 25]
[31.2, 55.2] [Obsidian Deposit 25]
[42.1, 55.2] [Oil Vein 50]
[76.8, 55.2] [Rich Metal Deposit 100]
[7.9, 55.3] [Underwater Metal Deposit 25]
[8.1, 56.7] [Underwater Metal Deposit 25]
[8.3, 59.2] [Crystal Deposit 25]
[9.4, 55.3] [Underwater Metal Deposit 25]
[27.1, 55.3] [Metal Deposit 25]
[34.4, 55.3] [Obsidian Deposit 25]
[42.6, 55.4] [Oil Vein 50]
[66.1, 55.3] [Oil Vein 50]
[57.6, 55.4] [Rich Metal Deposit 100]
[10.4, 55.5] [Underwater Metal Deposit 25]
[18.6, 56.0] [Obsidian Deposit 25]
[56.6, 55.5] [Rich Metal Deposit 100]
[60.9, 55.6] [Metal Deposit 25]
[66.6, 55.5] [Oil Vein 50]
[66.5, 55.6] [Oil Vein 50]
[81.1, 55.6] [Salt Deposit 5]
[60.5, 55.7] [Rich Metal Deposit 100]
[55.2, 55.9] [Rich Metal Deposit 100]
[55.6, 55.9] [Metal Deposit 25]
[85.0, 55.9] [Salt Deposit 5]
[68.7, 56.0] [Cactus 5]
[87.2, 56.0] [Silica Deposit 25]
[8.6, 56.1] [Crystal Deposit 25, Underwater Metal Deposit 25]
[10.1, 60.1] [Crystal Deposit 25]
[12.3, 56.1] [Underwater Metal Deposit 25]
[21.2, 56.2] [Rich Metal Deposit 100]
[33.0, 56.2] [Obsidian Deposit 25]
[59.7, 56.2] [Metal Deposit 25]
[75.7, 56.2] [Rich Metal Deposit 100, Metal Deposit 25]
[21.0, 56.3] [Obsidian Deposit 25]
[22.0, 56.4] [Obsidian Deposit 25]
[32.1, 56.3] [Crystal Deposit 25]
[33.5, 56.3] [Crystal Deposit 25]
[68.4, 56.4] [Water Vein 1]
[68.5, 56.3] [Water Vein 1]
[73.5, 56.4] [Rare Flowers 5]
[75.3, 56.3] [Oil Vein 50]
[53.5, 56.5] [Salt Deposit 5]
[60.7, 56.5] [Rich Metal Deposit 100]
[76.5, 56.5] [Rich Metal Deposit 100, Metal Deposit 25]
[92.1, 56.5] [Oil Rock 25]
[10.3, 56.6] [Crystal Deposit 25]
[12.3, 59.8] [Crystal Deposit 25]
[13.3, 59.3] [Underwater Metal Deposit 25]
[15.0, 57.8] [Underwater Metal Deposit 25]
[19.4, 57.0] [Obsidian Deposit 25]
[23.8, 57.1] [Obsidian Deposit 25]
[27.7, 56.6] [Obsidian Deposit 25]
[55.1, 56.6] [Crystal Deposit 25]
[59.0, 56.6] [Metal Deposit 25]
[55.9, 56.7] [Rich Metal Deposit 100]
[57.4, 57.0] [Salt Deposit 5]
[68.2, 56.8] [Cactus 5]
[76.8, 56.7] [Oil Vein 50]
[78.9, 56.7] [Rare Flowers 5]
[73.5, 56.9] [Cactus 5]
[59.9, 57.0] [Metal Deposit 25]
[94.4, 57.0] [Oil Rock 25]
[95.6, 57.0] [Oil Rock 25]
[54.6, 57.1] [Salt Deposit 5]
[86.3, 57.1] [Oil Rock 25]
[24.5, 57.3] [Salt Deposit 5]
[31.0, 57.3] [Obsidian Deposit 25]
[60.0, 57.3] [Rich Metal Deposit 100]
[78.2, 57.3] [Cactus 5]
[21.7, 57.4] [Metal Deposit 25]
[45.7, 57.4] [Oil Vein 50]
[55.5, 57.8] [Rich Metal Deposit 100]
[60.8, 57.5] [Cactus 5]
[90.5, 57.4] [Oil Rock 25]
[92.6, 57.4] [Oil Rock 25]
[55.6, 57.8] [Metal Deposit 25]
[83.4, 57.8] [Silica Deposit 25]
[53.4, 57.9] [Metal Deposit 25]
[55.5, 57.9] [Salt Deposit 5]
[83.0, 57.9] [Underwater Metal Deposit 25]
[18.1, 58.0] [Obsidian Deposit 25]
[20.5, 58.3] [Obsidian Deposit 25]
[21.8, 58.0] [Rich Metal Deposit 100]
[57.1, 58.0] [Salt Deposit 5]
[83.8, 58.0] [Oil Rock 25]
[48.7, 58.1] [Obsidian Deposit 25, Metal Deposit 25]
[57.4, 58.1] [Metal Deposit 25]
[74.8, 58.1] [Metal Deposit 25]
[89.2, 58.2] [Oil Rock 25]
[20.7, 58.3] [Rich Metal Deposit 100]
[75.0, 58.3] [Rich Metal Deposit 100]
[14.1, 58.4] [Underwater Metal Deposit 25]
[14.6, 59.3] [Underwater Metal Deposit 25]
[19.5, 59.4] [Obsidian Deposit 25]
[54.5, 58.5] [Cactus 5]
[78.0, 58.4] [Rich Metal Deposit 100]
[80.2, 58.4] [Cactus 5]
[25.3, 58.6] [Sulfur Deposit 5]
[25.6, 59.2] [Crystal Deposit 25]
[57.7, 58.6] [Cactus 5]
[53.7, 58.7] [Metal Deposit 25]
[55.0, 58.8] [Salt Deposit 5]
[57.1, 59.1] [Crystal Deposit 25]
[60.7, 58.8] [Salt Deposit 5]
[77.8, 58.7] [Cactus 5]
[75.9, 58.8] [Sulfur Deposit 5]
[57.7, 58.9] [Rich Metal Deposit 100]
[59.8, 58.9] [Cactus 5]
[93.8, 59.1] [Underwater Metal Deposit 25]
[91.5, 59.2] [Oil Rock 25]
[56.2, 59.3] [Metal Deposit 25]
[56.4, 59.5] [Cactus 5]
[80.1, 59.3] [Oil Vein 50]
[80.4, 59.3] [Oil Vein 50]
[94.1, 59.4] [Oil Rock 25]
[73.1, 59.5] [Cactus 5]
[77.8, 59.5] [Sulfur Deposit 5]
[78.9, 59.5] [Rich Metal Deposit 100]
[80.2, 59.6] [Oil Vein 50]
[77.9, 59.7] [Metal Deposit 25]
[78.0, 59.7] [Rich Metal Deposit 100]
[80.1, 59.7] [Oil Vein 50]
[18.4, 59.9] [Obsidian Deposit 25]
[53.7, 59.9] [Cactus 5]
[80.1, 59.9] [Oil Vein 50]
[94.8, 60.0] [Underwater Metal Deposit 25]
[12.8, 60.2] [Oil Rock 25]
[55.5, 60.2] [Salt Deposit 5]
[68.2, 60.2] [Water Vein 1]
[8.1, 60.3] [Crystal Deposit 25]
[9.5, 60.5] [Oil Rock 25]
[13.9, 60.3] [Underwater Metal Deposit 25]
[48.2, 60.4] [Obsidian Deposit 25]
[80.9, 60.3] [Metal Deposit 25]
[76.9, 60.4] [Rich Metal Deposit 100]
[37.7, 60.6] [Crystal Deposit 25]
[93.0, 60.7] [Oil Rock 25]
[95.7, 60.6] [Oil Rock 25]
[9.5, 60.8] [Silica Deposit 25]
[9.6, 60.9] [Crystal Deposit 25]
[84.3, 60.8] [Sulfur Deposit 5]
[17.4, 60.9] [Obsidian Deposit 25]
[20.9, 61.2] [Metal Deposit 25]
[23.5, 60.9] [Metal Deposit 25]
[29.8, 61.1] [Obsidian Deposit 25]
[48.9, 60.9] [Metal Deposit 25]
[49.3, 60.9] [Obsidian Deposit 25]
[80.2, 60.9] [Obsidian Deposit 25]
[81.6, 61.0] [Sulfur Deposit 5]
[34.7, 61.1] [Metal Deposit 25]
[36.2, 61.2] [Oil Vein 50]
[55.9, 61.1] [Cactus 5]
[5.8, 61.4] [Obsidian Deposit 25]
[8.0, 61.7] [Crystal Deposit 25]
[53.8, 61.5] [Cactus 5]
[83.5, 61.4] [Sulfur Deposit 5]
[74.4, 61.5] [Sulfur Deposit 5]
[78.1, 61.5] [Oil Vein 50]
[35.8, 61.6] [Metal Deposit 25]
[38.2, 61.7] [Metal Deposit 25]
[55.0, 61.6] [Metal Deposit 25]
[91.3, 61.7] [Oil Rock 25]
[5.6, 61.8] [Oil Rock 25]
[5.8, 68.4] [Silica Deposit 25]
[6.4, 63.0] [Oil Rock 25]
[7.2, 62.1] [Obsidian Deposit 25]
[8.3, 61.8] [Oil Rock 25]
[11.8, 62.0] [Crystal Deposit 25]
[23.5, 62.0] [Obsidian Deposit 25]
[48.2, 61.8] [Obsidian Deposit 25]
[48.2, 61.9] [Metal Deposit 25]
[78.5, 61.9] [Sulfur Deposit 5]
[22.4, 62.1] [Metal Deposit 25]
[24.3, 62.3] [Metal Deposit 25]
[55.2, 62.2] [Rich Metal Deposit 100]
[50.2, 62.3] [Obsidian Deposit 25, Metal Deposit 25]
[79.7, 62.3] [Oil Vein 50]
[6.5, 62.4] [Crystal Deposit 25]
[6.5, 62.9] [Silica Deposit 25, Crystal Deposit 25]
[76.9, 62.4] [Sulfur Deposit 5]
[79.9, 62.4] [Water Vein 1]
[6.6, 62.5] [Obsidian Deposit 25]
[8.4, 62.9] [Crystal Deposit 25]
[15.5, 62.6] [Underwater Metal Deposit 25]
[19.8, 62.5] [Metal Deposit 25]
[21.5, 62.8] [Metal Deposit 25]
[33.5, 62.5] [Metal Deposit 25]
[73.1, 62.5] [Cactus 5]
[79.1, 62.5] [Water Vein 1]
[93.8, 62.5] [Oil Rock 25]
[80.0, 62.6] [Oil Vein 50]
[82.0, 62.7] [Sulfur Deposit 5]
[21.7, 62.8] [Sulfur Deposit 5]
[8.5, 62.9] [Silica Deposit 25]
[13.0, 63.5] [Underwater Metal Deposit 25]
[21.4, 63.3] [Metal Deposit 25]
[22.3, 63.0] [Metal Deposit 25]
[35.5, 63.1] [Oil Vein 50]
[35.8, 62.9] [Metal Deposit 25]
[44.2, 63.3] [Metal Deposit 25]
[62.8, 63.0] [Rich Metal Deposit 100]
[61.2, 63.1] [Metal Deposit 25]
[62.9, 63.1] [Rare Flowers 5]
[80.6, 63.2] [Metal Deposit 25]
[76.1, 63.3] [Water Vein 1]
[23.4, 63.4] [Sulfur Deposit 5]
[44.1, 63.4] [Obsidian Deposit 25]
[94.0, 63.4] [Underwater Metal Deposit 25]
[21.4, 63.5] [Sulfur Deposit 5]
[49.2, 63.6] [Obsidian Deposit 25]
[49.3, 63.5] [Metal Deposit 25]
[76.3, 63.6] [Sulfur Deposit 5]
[81.5, 63.5] [Salt Deposit 5]
[83.6, 63.6] [Sulfur Deposit 5]
[84.5, 63.5] [Metal Deposit 25]
[84.5, 63.6] [Rich Metal Deposit 100]
[95.6, 63.5] [Oil Rock 25]
[94.5, 63.6] [Oil Rock 25]
[14.1, 63.7] [Underwater Metal Deposit 25]
[64.1, 63.7] [Rich Metal Deposit 100]
[83.5, 63.7] [Metal Deposit 25]
[83.6, 63.7] [Rich Metal Deposit 100]
[6.0, 63.8] [Crystal Deposit 25]
[6.8, 86.2] [Crystal Deposit 25]
[19.2, 63.8] [Metal Deposit 25]
[20.2, 63.8] [Metal Deposit 25]
[35.5, 63.9] [Metal Deposit 25]
[39.0, 63.8] [Oil Vein 50]
[40.0, 63.8] [Metal Deposit 25]
[78.1, 63.8] [Sulfur Deposit 5]
[80.3, 63.9] [Water Vein 1]
[84.9, 63.9] [Salt Deposit 5]
[7.2, 64.0] [Oil Rock 25]
[7.5, 76.3] [Oil Rock 25]
[20.8, 64.3] [Crystal Deposit 25]
[21.8, 64.1] [Metal Deposit 25]
[63.2, 64.0] [Obsidian Deposit 25]
[80.4, 64.0] [Obsidian Deposit 25]
[22.8, 64.1] [Sulfur Deposit 5]
[27.6, 64.3] [Obsidian Deposit 25]
[39.3, 64.2] [Oil Vein 50]
[74.5, 64.1] [Salt Deposit 5]
[80.8, 64.2] [Rich Metal Deposit 100]
[95.1, 64.2] [Underwater Metal Deposit 25]
[37.7, 64.4] [Metal Deposit 25]
[38.7, 64.5] [Oil Vein 50]
[80.4, 64.4] [Salt Deposit 5]
[94.2, 64.5] [Underwater Metal Deposit 25]
[21.5, 64.6] [Sulfur Deposit 5]
[23.3, 65.0] [Metal Deposit 25]
[72.2, 64.6] [Sulfur Deposit 5]
[83.8, 64.7] [Sulfur Deposit 5]
[33.9, 64.9] [Metal Deposit 25]
[41.4, 65.0] [Metal Deposit 25]
[57.9, 65.0] [Salt Deposit 5]
[64.1, 64.9] [Metal Deposit 25]
[71.6, 65.0] [Salt Deposit 5]
[77.6, 64.9] [Water Vein 1]
[75.3, 65.0] [Sulfur Deposit 5]
[48.4, 65.1] [Metal Deposit 25]
[64.0, 65.1] [Rich Metal Deposit 100]
[96.4, 65.1] [Underwater Metal Deposit 25]
[8.9, 65.2] [Crystal Deposit 25]
[9.3, 84.7] [Crystal Deposit 25]
[9.9, 71.7] [Oil Rock 25]
[11.1, 71.4] [Metal Deposit 25]
[24.0, 65.5] [Obsidian Deposit 25]
[48.4, 65.2] [Obsidian Deposit 25]
[76.3, 65.2] [Cactus 5]
[83.2, 65.4] [Rich Metal Deposit 100, Metal Deposit 25]
[85.1, 65.3] [Obsidian Deposit 25]
[42.7, 65.6] [Obsidian Deposit 25]
[78.7, 65.6] [Cactus 5]
[81.8, 65.6] [Metal Deposit 25]
[82.4, 65.6] [Salt Deposit 5]
[11.2, 65.7] [Obsidian Deposit 25]
[11.2, 66.6] [Silica Deposit 25]
[81.8, 65.7] [Rich Metal Deposit 100]
[12.1, 65.8] [Crystal Deposit 25]
[14.3, 66.4] [Obsidian Deposit 25]
[16.9, 65.8] [Crystal Deposit 25]
[25.2, 66.1] [Rich Metal Deposit 100]
[43.0, 65.8] [Metal Deposit 25]
[26.6, 66.1] [Metal Deposit 25]
[18.6, 66.2] [Metal Deposit 25]
[23.8, 66.2] [Rich Metal Deposit 100]
[65.0, 66.2] [Rich Metal Deposit 100]
[70.1, 66.2] [Underwater Metal Deposit 25]
[80.8, 66.2] [Oil Vein 50]
[26.3, 66.3] [Sulfur Deposit 5]
[40.4, 66.3] [Metal Deposit 25]
[83.5, 66.3] [Salt Deposit 5]
[14.5, 66.4] [Crystal Deposit 25]
[15.2, 66.5] [Obsidian Deposit 25]
[16.4, 67.4] [Obsidian Deposit 25]
[17.1, 66.8] [Crystal Deposit 25]
[20.5, 66.8] [Sulfur Deposit 5]
[26.0, 66.4] [Salt Deposit 5]
[64.9, 66.4] [Salt Deposit 5]
[79.0, 66.4] [Salt Deposit 5]
[96.6, 66.5] [Oil Rock 25]
[80.0, 66.6] [Sulfur Deposit 5]
[84.4, 66.6] [Sulfur Deposit 5]
[23.5, 66.7] [Obsidian Deposit 25]
[29.7, 66.9] [Metal Deposit 25]
[58.7, 66.7] [Salt Deposit 5]
[63.6, 66.7] [Rare Flowers 5]
[63.9, 66.7] [Rich Metal Deposit 100]
[71.5, 66.9] [Salt Deposit 5]
[72.5, 66.8] [Underwater Metal Deposit 25]
[17.3, 67.0] [Obsidian Deposit 25]
[17.6, 67.3] [Sulfur Deposit 5]
[19.0, 67.0] [Obsidian Deposit 25]
[21.1, 67.5] [Metal Deposit 25]
[41.9, 67.2] [Metal Deposit 25]
[48.4, 67.0] [Metal Deposit 25]
[48.4, 67.1] [Obsidian Deposit 25]
[62.8, 67.0] [Salt Deposit 5]
[73.9, 67.0] [Underwater Metal Deposit 25]
[79.1, 67.2] [Rich Metal Deposit 100]
[22.3, 67.3] [Rare Flowers 5]
[24.4, 67.5] [Obsidian Deposit 25]
[68.6, 67.3] [Underwater Metal Deposit 25]
[87.9, 67.3] [Silica Deposit 25]
[66.0, 67.4] [Underwater Metal Deposit 25]
[70.5, 67.4] [Salt Deposit 5]
[70.7, 67.4] [Rare Flowers 5]
[87.8, 67.5] [Oil Rock 25]
[19.8, 67.6] [Crystal Deposit 25]
[20.0, 67.6] [Salt Deposit 5, Sulfur Deposit 5]
[21.2, 67.6] [Metal Deposit 25]
[44.7, 67.6] [Metal Deposit 25]
[18.4, 67.7] [Metal Deposit 25]
[20.8, 67.8] [Sulfur Deposit 5]
[25.9, 67.7] [Sulfur Deposit 5]
[27.4, 67.7] [Obsidian Deposit 25]
[32.9, 67.7] [Oil Vein 50]
[26.0, 67.8] [Salt Deposit 5]
[26.1, 67.8] [Obsidian Deposit 25]
[63.3, 67.8] [Salt Deposit 5]
[64.3, 67.8] [Metal Deposit 25]
[33.2, 67.9] [Metal Deposit 25]
[62.7, 68.0] [Rich Metal Deposit 100]
[75.0, 67.9] [Underwater Metal Deposit 25]
[82.8, 68.0] [Salt Deposit 5]
[88.8, 67.9] [Oil Rock 25]
[22.1, 68.1] [Metal Deposit 25]
[24.3, 68.2] [Sulfur Deposit 5]
[53.6, 68.1] [Rich Metal Deposit 100]
[70.6, 68.1] [Underwater Metal Deposit 25]
[88.9, 68.1] [Underwater Metal Deposit 25]
[89.3, 68.1] [Silica Deposit 25]
[25.8, 68.2] [Rich Metal Deposit 100]
[27.7, 68.2] [Sulfur Deposit 5]
[32.1, 68.2] [Metal Deposit 25]
[32.4, 68.3] [Oil Vein 50]
[63.5, 68.3] [Metal Deposit 25]
[90.6, 68.2] [Underwater Metal Deposit 25]
[79.1, 68.3] [Cactus 5]
[34.2, 68.4] [Metal Deposit 25]
[62.4, 68.4] [Metal Deposit 25]
[16.7, 68.5] [Savoroot 1]
[19.4, 69.1] [Rich Metal Deposit 100, Metal Deposit 25]
[24.4, 68.5] [Metal Deposit 25]
[43.6, 68.6] [Metal Deposit 25]
[64.2, 68.5] [Rare Flowers 5]
[68.9, 68.5] [Obsidian Deposit 25]
[83.7, 68.5] [Sulfur Deposit 5]
[76.1, 68.6] [Underwater Metal Deposit 25]
[81.7, 68.6] [Oil Vein 50]
[29.1, 68.7] [Metal Deposit 25]
[69.3, 68.7] [Rare Flowers 5]
[94.5, 68.7] [Oil Rock 25]
[21.7, 68.8] [Obsidian Deposit 25]
[21.8, 69.4] [Rich Metal Deposit 100]
[23.9, 68.9] [Obsidian Deposit 25]
[65.3, 68.8] [Salt Deposit 5]
[91.1, 68.8] [Oil Rock 25]
[98.5, 68.8] [Oil Rock 25]
[25.6, 68.9] [Metal Deposit 25]
[89.1, 68.9] [Oil Rock 25]
[21.9, 69.0] [Metal Deposit 25]
[22.0, 69.0] [Salt Deposit 5]
[22.3, 69.0] [Sulfur Deposit 5]
[24.4, 69.1] [Sulfur Deposit 5]
[24.9, 69.0] [Sulfur Deposit 5]
[26.0, 69.1] [Sulfur Deposit 5]
[65.3, 69.0] [Rare Flowers 5]
[68.3, 69.0] [Salt Deposit 5]
[69.5, 69.0] [Obsidian Deposit 25]
[70.1, 69.0] [Rich Metal Deposit 100]
[27.4, 69.1] [Sulfur Deposit 5]
[40.4, 69.1] [Metal Deposit 25]
[48.3, 69.1] [Metal Deposit 25]
[66.8, 69.1] [Salt Deposit 5]
[75.8, 69.1] [Rare Flowers 5]
[23.3, 69.2] [Metal Deposit 25]
[27.5, 69.2] [Salt Deposit 5]
[74.3, 69.2] [Rich Metal Deposit 100]
[91.9, 69.2] [Underwater Metal Deposit 25]
[22.1, 69.3] [Metal Deposit 25]
[23.2, 69.4] [Salt Deposit 5]
[42.5, 69.3] [Metal Deposit 25]
[68.0, 69.3] [Rich Metal Deposit 100]
[72.9, 69.3] [Rich Metal Deposit 100, Metal Deposit 25]
[85.7, 69.3] [Silica Deposit 25]
[24.2, 69.4] [Crystal Deposit 25]
[28.4, 69.4] [Metal Deposit 25]
[73.4, 69.5] [Rare Flowers 5]
[91.1, 69.4] [Underwater Metal Deposit 25]
[66.1, 69.7] [Obsidian Deposit 25]
[16.2, 69.8] [Metal Deposit 25]
[16.6, 71.0] [Obsidian Deposit 25]
[17.9, 70.2] [Rich Metal Deposit 100]
[19.1, 69.9] [Water Vein 1]
[22.6, 69.8] [Crystal Deposit 25]
[24.4, 69.9] [Obsidian Deposit 25]
[65.7, 69.9] [Rich Metal Deposit 100]
[65.9, 69.9] [Salt Deposit 5]
[87.8, 69.9] [Underwater Metal Deposit 25]
[88.3, 69.9] [Oil Rock 25]
[23.2, 70.0] [Rich Metal Deposit 100]
[43.3, 70.2] [Metal Deposit 25]
[72.3, 70.0] [Salt Deposit 5]
[72.4, 70.1] [Obsidian Deposit 25]
[98.0, 70.0] [Silica Deposit 25]
[19.3, 70.3] [Rich Metal Deposit 100]
[25.2, 70.3] [Sulfur Deposit 5]
[67.8, 70.3] [Rich Metal Deposit 100]
[76.7, 70.3] [Rich Metal Deposit 100, Metal Deposit 25]
[77.0, 70.3] [Rare Flowers 5]
[19.0, 70.4] [Metal Deposit 25]
[21.5, 71.4] [Water Vein 1]
[24.7, 70.5] [Rich Metal Deposit 100]
[70.2, 70.5] [Salt Deposit 5]
[70.3, 70.5] [Metal Deposit 25]
[97.7, 70.5] [Oil Rock 25]
[47.0, 70.6] [Metal Deposit 25]
[66.6, 70.8] [Salt Deposit 5]
[66.9, 70.7] [Rich Metal Deposit 100]
[71.7, 70.9] [Rare Flowers 5]
[78.2, 70.7] [Underwater Metal Deposit 25]
[99.0, 70.7] [Silica Deposit 25]
[86.2, 70.8] [Underwater Metal Deposit 25]
[77.5, 70.9] [Rare Flowers 5]
[84.8, 70.9] [Silica Deposit 25]
[24.3, 71.0] [Sulfur Deposit 5]
[42.9, 71.6] [Metal Deposit 25]
[52.8, 71.0] [Rich Metal Deposit 100]
[96.4, 71.0] [Oil Rock 25]
[47.0, 71.2] [Obsidian Deposit 25]
[90.8, 71.5] [Silica Deposit 25]
[95.8, 71.5] [Silica Deposit 25]
[16.8, 71.8] [Metal Deposit 25]
[17.7, 72.3] [Rich Metal Deposit 100]
[86.7, 71.8] [Oil Rock 25]
[18.8, 72.0] [Metal Deposit 25]
[18.8, 72.2] [Rich Metal Deposit 100]
[21.3, 72.2] [Rockarrot 1]
[40.3, 72.1] [Metal Deposit 25]
[68.4, 72.4] [Salt Deposit 5]
[80.3, 72.3] [Salt Deposit 5]
[81.2, 72.4] [Salt Deposit 5]
[86.1, 72.3] [Underwater Metal Deposit 25]
[18.9, 72.6] [Water Vein 1]
[19.3, 72.9] [Metal Deposit 25]
[79.3, 72.7] [Metal Deposit 25]
[21.8, 72.8] [Savoroot 1]
[79.1, 72.9] [Rare Flowers 5]
[79.3, 72.8] [Rich Metal Deposit 100]
[85.0, 72.9] [Underwater Metal Deposit 25]
[10.3, 73.1] [Silica Deposit 25]
[30.7, 73.1] [Metal Deposit 25]
[56.1, 73.1] [Salt Deposit 5]
[83.7, 73.1] [Underwater Metal Deposit 25]
[9.6, 73.2] [Oil Rock 25]
[12.0, 85.9] [Oil Rock 25]
[14.8, 75.3] [Rockarrot 1]
[16.2, 75.7] [Rare Flowers 5]
[17.8, 73.2] [Metal Deposit 25]
[40.6, 73.2] [Obsidian Deposit 25]
[48.1, 73.2] [Metal Deposit 25]
[84.0, 73.2] [Silica Deposit 25]
[94.0, 73.2] [Oil Rock 25]
[19.1, 73.3] [Rockarrot 1]
[21.8, 73.6] [Rockarrot 1, Metal Deposit 25]
[40.4, 73.4] [Metal Deposit 25]
[88.7, 73.3] [Oil Rock 25]
[96.2, 73.4] [Silica Deposit 25]
[97.3, 73.5] [Oil Rock 25]
[22.0, 73.6] [Savoroot 1]
[62.7, 73.9] [Salt Deposit 5]
[80.1, 73.7] [Salt Deposit 5]
[84.5, 73.7] [Underwater Metal Deposit 25]
